random_state,k,perturb_method,top_features_label0,top_features_label1,AOPC_label0,AOPC_label1
1212,1,mean,[42],[14],0.04421361428428483,-0.017585661727935076
1212,1,median,[42],[14],0.011452730411487977,-0.02201004233211279
1212,1,marginal,[42],[14],-0.10379793648412772,-0.0005392497405409813
1212,1,zero,[42],[14],0.14455315757569442,-0.04145280132070184
1212,2,mean,"[42, 14]","[14, 42]",0.03911134698062568,-0.10680468613281846
1212,2,median,"[42, 14]","[14, 42]",0.016890504450735477,-0.10866476083174348
1212,2,marginal,"[42, 14]","[14, 42]",-0.18485589744192055,-0.014953139703720808
1212,2,zero,"[42, 14]","[14, 42]",0.23203800353662551,-0.11544756079092622
1212,3,mean,"[42, 14, 25]","[14, 42, 25]",0.04307851883319502,-0.060199393425136805
1212,3,median,"[42, 14, 25]","[14, 42, 25]",0.023395328064020227,-0.059102235827594995
1212,3,marginal,"[42, 14, 25]","[14, 42, 25]",0.3609515527551404,-0.11567918816581368
1212,3,zero,"[42, 14, 25]","[14, 42, 25]",0.2905797599769491,-0.09499474847689271
1212,4,mean,"[42, 14, 25, 27]","[14, 42, 25, 27]",0.01013031865853975,-0.00248420936986804
1212,4,median,"[42, 14, 25, 27]","[14, 42, 25, 27]",-0.05013991455676603,0.0053740390576422215
1212,4,marginal,"[42, 14, 25, 27]","[14, 42, 25, 27]",0.361429268239432,-0.1156791658140719
1212,4,zero,"[42, 14, 25, 27]","[14, 42, 25, 27]",0.29831230527928265,-0.09796404326334596
1212,5,mean,"[42, 14, 25, 27, 0]","[14, 42, 25, 27, 24]",-0.006175966523450427,-0.00770852854475379
1212,5,median,"[42, 14, 25, 27, 0]","[14, 42, 25, 27, 24]",-0.014531122345069036,0.009423047071322799
1212,5,marginal,"[42, 14, 25, 27, 0]","[14, 42, 25, 27, 24]",0.4229821391265629,-0.11563723022118211
1212,5,zero,"[42, 14, 25, 27, 0]","[14, 42, 25, 27, 24]",0.2832850211297121,-0.07173283444717526
1462,1,mean,[41],[17],0.037296910287791904,-0.0004148951265960932
1462,1,median,[41],[17],0.03048416401681204,-0.002356236231409841
1462,1,marginal,[41],[17],-0.0797210323561733,0.004109983746376302
1462,1,zero,[41],[17],0.10637785948731876,0.006087637816866239
1462,2,mean,"[41, 25]","[17, 25]",-0.00038666453009930966,0.01496425684955385
1462,2,median,"[41, 25]","[17, 25]",-0.010814498463923615,0.01872335508879688
1462,2,marginal,"[41, 25]","[17, 25]",-0.1410883635700793,0.0339075142207245
1462,2,zero,"[41, 25]","[17, 25]",0.16334277233588965,-0.005059818737208843
1462,3,mean,"[41, 25, 17]","[17, 25, 41]",-0.007754634214298129,0.02447418314922187
